S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
11,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,at nightclub,Close,random,,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,0,29,,,Unclear,Other,M,,
12,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,,Open,random,,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,0,0,,,Unknown,Unknown,Unknown,38.744217,-90.305391
13,"Forestville, Maryland Drive-by",,4/26/2016,in street,Open,,,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,0,,,,Unknown,Unknown,Unknown,38.845113,-76.874972
14,"Halifax County, VA",,4/24/2016,crown,Open,random,,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,0,,,,Unknown,Black American or African American,Male,36.765971,-78.928344
15,Tire-Slashing revenge escalation,,4/21/2016,block party,Open,random,frustration,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,0,,,,Unknown,Black American or African American,Male,39.290385,-76.612189
16,Chicago Rap video Shootout,,4/19/2016,in a park,Open,random,,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
17,Texas family murder-suicide,,4/19/2016,Home,Close,Family,domestic dispute,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,0,,,,Unknown,White American or European American,Male,29.785785,-95.824396
18,Alabama highway random shooting,,4/19/2016,along a highway ,Open,random,,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,0,,,,Yes,White American or European American,Male,34.16204,-86.475543
19,Long Beach Street murder,,4/18/2016,at street corner,Open,random,terrorism,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,0,,,,Unknown,Unknown,Unknown,33.77005,-118.193739
20,"Albuquerque, NM House party shooting",,4/9/2016,at party,Close,uninvited guests,anger,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,0,,,,Unknown,White American or European American,Male,35.085334,-106.605553
21,"Memphis, TN gas station shooting",,4/9/2016,at gas station,Open,random,anger,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
22,Chicago Birthday Party Bus Shooting,,4/7/2016,south shore,Open,birthday party bus,,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
